provider;region-id;location;PUE;WUE;renewable-energy;reference-date;source;additional-info
aws;fleet;fleet;1.150;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;AMER;AMER;1.150;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;EMEA;EMEA;1.120;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;APAC;APAC;1.270;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;eu-north-1;Europe (Stockholm);1.120;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;me-south-1;Middle East (Bahrain);1.380;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;ap-south-1;Asia-Pacific (Mumbai);1.430;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;ap-southeast-3;Asia-Pacific (Jakarta);1.390;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;us-east-2;U.S. East (Ohio);1.120;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;af-south-1;Africa (Cape Town);1.360;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;eu-west-1;Europe (Ireland);1.10;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;eu-central-1;Europe (Frankfurt);1.320;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;us-east-1;U.S. East (Northern Virginia);1.160;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;ap-northeast-1;Asia-Pacific (Tokyo);1.30;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;us-west-2;U.S. West (Oregon);1.130;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;us-west-1;U.S. West (Northern California);1.170;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;ap-southeast-1;Asia-Pacific (Singapore);1.330;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;ap-southeast-2;Asia-Pacific (Sydney);1.150;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;ca-central-1;Canada (Central);1.260;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
aws;cn-northwest-1;China (Ningxia);1.280;;;2022;https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/12-the-cloud/AWS-geography-PUE.csv;
gcp;us-east1;Berkeley County, South Carolina;1.070;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;us-east5;Central Ohio (Columbus);1.050;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;us-east5;Central Ohio (Lancaster);1.040;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;us-east5;Central Ohio (New Albany);1.050;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;asia-east1;Changhua County, Taiwan;1.10;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;us-central1;Council Bluffs, Iowa;1.10;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;us-central1;Council Bluffs, Iowa (2nd facility);1.070;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
gcp;us-east4;Douglas County, Georgia;1.080;;;Q1 2025;https://datacenters.google/efficiency/;quaterly PUE
